click_url,thumbnail_url,star_average,name,sold,price
https://shopee.vn/CAMERA-IP-YOOSEE-360-QUAN-SÁT-RÕ-NGÀY-VÀ-ĐÊM-KÈM-THẺ-NHỚ-BẢO-HÀNH-1-NĂM-i.55564549.1257717612,https://cf.shopee.vn/file/sg-11134201-23020-t0awm05k10mva0,95,"CAMERA IP YOOSEE 360, QUAN SÁT RÕ NGÀY VÀ ĐÊM, KÈM THẺ NHỚ, BẢO HÀNH 1 NĂM",47265,216000
https://shopee.vn/-FNKvision-Camera-Ngoài-Trời-PTZ-MINI-Xoay-360°-Chống-Nước-YooSee-Full-HD-5MP-16-Led-Ban-Đêm-Trợ-Sáng-Đàm-Thoại-2-Chiều-i.816505872.21947927141,https://cf.shopee.vn/file/sg-11134201-22090-4fl12ilccqhv0e,95,[FNKvision] Camera Ngoài Trời PTZ MINI Xoay 360° Chống Nước YooSee Full HD 5MP 16 Led Ban Đêm Trợ Sáng Đàm Thoại 2 Chiều,2320,275000
https://shopee.vn/Camera-IP-Wifi-5G-Yoosee-FNKvision-5.0MP-360-độ-thế-hệ-mới-5-ăng-ten-Full-HD-xem-đêm-có-màu-phiên-bản-tiếng-việt-i.816490879.20837801279,https://cf.shopee.vn/file/sg-11134201-22120-1cotmd3azukv3c,96,"Camera IP Wifi 5G Yoosee FNKvision 5.0MP 360 độ, thế hệ mới 5 ăng ten, Full HD, xem đêm có màu, phiên bản tiếng việt",2171,210000
https://shopee.vn/Camera-outdoor-wifi-PTZ-mini-5G-Yoosee-phiên-bản-tiếng-việt-FNKVISION-5.0MP-quan-sát-360-độ-Full-HD-xem-đêm-có-màu-i.816490879.19462556867,https://cf.shopee.vn/file/sg-11134201-22110-0akn5fas1gkva2,95,"Camera outdoor wifi PTZ mini 5G Yoosee, phiên bản tiếng việt - FNKVISION 5.0MP, quan sát 360 độ, Full HD, xem đêm có màu",166,340000
https://shopee.vn/Camera-hành-trình-ô-tô-M5-dạng-gương-chiếu-hậu-màn-cảm-ứng-5inch-FullHD-1đổi1-trong-12T-i.822616743.16079850544,https://cf.shopee.vn/file/bb079fd5071e6bc2425137d907678abe,99,Camera hành trình ô tô M5 dạng gương chiếu hậu màn cảm ứng 5inch FullHD 1đổi1 trong 12T,1285,469000
https://shopee.vn/Camera-hành-trình-ô-tô-K4-màn-cảm-ứng-4inch-Full-HD-quay-đêm-rõ-nét-chống-rung-tự-động-Bảo-Hành-12-Tháng-i.822616743.20725867971,https://cf.shopee.vn/file/079f8a88e2a1fea2e385d7a3ed5f53dc,100,"Camera hành trình ô tô K4 màn cảm ứng 4inch Full HD, quay đêm rõ nét, chống rung tự động Bảo Hành 12 Tháng",374,689000
https://shopee.vn/Camera-hành-trình-ONTEKCO-A50-màn-hình-4-inch-Full-HD-siêu-nét-Chống-Rung-tự-động-Bảo-Hành-12-Tháng-i.858613655.21644485321,https://cf.shopee.vn/file/e03d92ebacc6f0947cc1986ac5c7dbb7,98,"Camera hành trình ONTEKCO A50,màn hình 4 inch Full HD siêu nét, Chống Rung tự động-Bảo Hành 12 Tháng",53,399000
https://shopee.vn/Camera-hành-trình-ô-tô-X10-XETABON-Full-HD-1080p-quay-đêm-rõ-nét-có-cảnh-báo-va-chạm-phía-trước-bảo-hành-12-tháng-i.865589135.19447321174,https://cf.shopee.vn/file/sg-11134201-22100-tqlqm6igr9iva2,96,"Camera hành trình ô tô X10 XETABON Full HD 1080p quay đêm rõ nét, có cảnh báo va chạm phía trước bảo hành 12 tháng",77,1373500
https://shopee.vn/Camera-hành-trình-Xiaomi-70mai-A500s-quốc-tế-phân-giải-2-7K-cảm-biến-Sony-cảnh-báo-va-chạm-lệch-làn-GPS-quay-đêm-i.633248085.14941641953,https://cf.shopee.vn/file/f2f05b45c2182b907be683be28be9c56,99,"Camera hành trình Xiaomi 70mai A500s quốc tế, phân giải 2,7K, cảm biến Sony, cảnh báo va chạm, lệch làn, GPS, quay đêm",946,1715000
https://shopee.vn/Camera-hành-trình-ô-tô-70mai-Dash-cam-Pro-Plus-A500S-độ-phân-giải-1944P-i.646662818.14338391320,https://cf.shopee.vn/file/ac490e4f139b3f3bcac0e193624aa9e1,98,Camera hành trình ô tô 70mai Dash cam Pro Plus + A500S độ phân giải 1944P,3219,1749000
